Difficulty,Title,Frequency,Link,Solution,Topics
MEDIUM,Replace the Substring for Balanced String,100.0,https://leetcode.com/problems/replace-the-substring-for-balanced-string,https://leetcode.com/problems/replace-the-substring-for-balanced-string/submissions/2024297384/,"String, Sliding Window"
MEDIUM,Merge Operations to Turn Array Into a Palindrome,87.5,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,NOT POSSIBLE,"Array, Two Pointers, Greedy"
EASY,Two Sum,72.8,https://leetcode.com/problems/two-sum,https://leetcode.com/problems/two-sum/submissions/1677266814/,"Array, Hash Table"
EASY,Climbing Stairs,72.8,https://leetcode.com/problems/climbing-stairs,https://leetcode.com/problems/climbing-stairs/submissions/2024351675/,"Math, Dynamic Programming, Memoization"
MEDIUM,Longest Substring Without Repeating Characters,62.0,https://leetcode.com/problems/longest-substring-without-repeating-characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/submissions/2018208375/,"Hash Table, String, Sliding Window"
MEDIUM,Binary Tree Right Side View,62.0,https://leetcode.com/problems/binary-tree-right-side-view,https://leetcode.com/problems/binary-tree-right-side-view/submissions/2024372977/,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
EASY,Valid Parentheses,62.0,https://leetcode.com/problems/valid-parentheses,https://leetcode.com/problems/valid-parentheses/submissions/2013802201/,"String, Stack"
MEDIUM,Longest Palindromic Substring,62.0,https://leetcode.com/problems/longest-palindromic-substring,https://leetcode.com/problems/longest-palindromic-substring/submissions/2018062567/,"Two Pointers, String, Dynamic Programming"
HARD,Trapping Rain Water,53.4,https://leetcode.com/problems/trapping-rain-water,https://leetcode.com/problems/trapping-rain-water/submissions/2018365710/,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
EASY,Longest Common Prefix,53.4,https://leetcode.com/problems/longest-common-prefix,https://leetcode.com/problems/longest-common-prefix/submissions/2024406103/,"String, Trie"
EASY,Reverse Vowels of a String,53.4,https://leetcode.com/problems/reverse-vowels-of-a-string,https://leetcode.com/problems/reverse-vowels-of-a-string/submissions/2024421673/,"Two Pointers, String"
MEDIUM,Search in Rotated Sorted Array,53.4,https://leetcode.com/problems/search-in-rotated-sorted-array,https://leetcode.com/problems/search-in-rotated-sorted-array/submissions/2023907999/,"Array, Binary Search"
MEDIUM,Longest Common Subsequence,53.4,https://leetcode.com/problems/longest-common-subsequence,https://leetcode.com/problems/longest-common-subsequence/submissions/2024455666/,"String, Dynamic Programming"
MEDIUM,Remove Duplicates from Sorted Array II,53.4,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/submissions/2024543625/,"Array, Two Pointers"
MEDIUM,Container With Most Water,53.4,https://leetcode.com/problems/container-with-most-water,https://leetcode.com/problems/container-with-most-water/submissions/2018034782/,"Array, Two Pointers, Greedy"
MEDIUM,Asteroid Collision,53.4,https://leetcode.com/problems/asteroid-collision,https://leetcode.com/problems/asteroid-collision/submissions/2024642052/,"Array, Stack, Simulation"
EASY,Best Time to Buy and Sell Stock,53.4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/submissions/2024027622/,"Array, Dynamic Programming"
,,,,
