Difficulty,Title,Frequency,Link,Anwser,Topics
EASY,Remove All Adjacent Duplicates In String,100.0,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/submissions/2017308029/,"String, Stack"
MEDIUM,Minimize Maximum of Array,97.6,https://leetcode.com/problems/minimize-maximum-of-array,https://leetcode.com/problems/minimize-maximum-of-array/submissions/2017483338/,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
EASY,Number of Unequal Triplets in Array,97.6,https://leetcode.com/problems/number-of-unequal-triplets-in-array,https://leetcode.com/problems/number-of-unequal-triplets-in-array/submissions/2017535913/,"Array, Hash Table, Sorting"
EASY,Find Indices With Index and Value Difference I,97.6,https://leetcode.com/problems/find-indices-with-index-and-value-difference-i,https://leetcode.com/problems/find-indices-with-index-and-value-difference-i/submissions/2017880638/,"Array, Two Pointers"
MEDIUM,Find Indices With Index and Value Difference II,97.6,https://leetcode.com/problems/find-indices-with-index-and-value-difference-ii,https://leetcode.com/problems/find-indices-with-index-and-value-difference-ii/submissions/2017884971/,"Array, Two Pointers"
MEDIUM,Longest Nice Subarray,97.6,https://leetcode.com/problems/longest-nice-subarray,https://leetcode.com/problems/longest-nice-subarray/submissions/2017954106/,"Array, Bit Manipulation, Sliding Window"
MEDIUM,Min Stack,94.9,https://leetcode.com/problems/min-stack,https://leetcode.com/problems/min-stack/submissions/2017975631/,"Stack, Design"
MEDIUM,Number of Divisible Substrings,80.2,https://leetcode.com/problems/number-of-divisible-substrings,NOT POSSIBLE,"Hash Table, String, Counting, Prefix Sum"
MEDIUM,Linked List Cycle II,80.2,https://leetcode.com/problems/linked-list-cycle-ii,https://leetcode.com/problems/linked-list-cycle-ii/submissions/2017990277/,"Hash Table, Linked List, Two Pointers"
EASY,Valid Parentheses,74.6,https://leetcode.com/problems/valid-parentheses,https://leetcode.com/problems/valid-parentheses/submissions/2013802201/,"String, Stack"
MEDIUM,Container With Most Water,74.6,https://leetcode.com/problems/container-with-most-water,https://leetcode.com/problems/container-with-most-water/submissions/2018034782/,"Array, Two Pointers, Greedy"
EASY,Two Sum,67.3,https://leetcode.com/problems/two-sum,https://leetcode.com/problems/two-sum/submissions/1677266814/,"Array, Hash Table"
MEDIUM,Reverse Words in a String,67.3,https://leetcode.com/problems/reverse-words-in-a-string,https://leetcode.com/problems/reverse-words-in-a-string/submissions/1489698720/,"Two Pointers, String"
MEDIUM,Longest Palindromic Substring,67.3,https://leetcode.com/problems/longest-palindromic-substring,https://leetcode.com/problems/longest-palindromic-substring/submissions/2013889848/,"Two Pointers, String, Dynamic Programming"
MEDIUM,Next Permutation,67.3,https://leetcode.com/problems/next-permutation,https://leetcode.com/problems/next-permutation/submissions/2018164883/,"Array, Two Pointers"
MEDIUM,Longest Substring Without Repeating Characters,67.3,https://leetcode.com/problems/longest-substring-without-repeating-characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/submissions/2018208375/,"Hash Table, String, Sliding Window"
MEDIUM,3Sum,67.3,https://leetcode.com/problems/3sum,https://leetcode.com/problems/3sum/submissions/2018260313/,"Array, Two Pointers, Sorting"
MEDIUM,Word Search,57.2,https://leetcode.com/problems/word-search,https://leetcode.com/problems/word-search/submissions/2018268568/,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Largest Number,57.2,https://leetcode.com/problems/largest-number,https://leetcode.com/problems/largest-number/submissions/2018333245/,"Array, String, Greedy, Sorting"
